subject_id;MFD_cond_1;MFD_cond_2;MFD_cond_3;MFD_cond_4;MFD_cond_5;MFD_SD_cond_1;MFD_SD_cond_2;MFD_SD_cond_3;MFD_SD_cond_4;MFD_SD_cond_5;fixation_num_cond_1;fixation_num_cond_2;fixation_num_cond_3;fixation_num_cond_4;fixation_num_cond_5;MFD_overall;MFD_SD_overall
Subject1;0.09000000000000015;0.07111111111111086;0.1062499999999999;0.09111111111111109;0.1019999999999998;0.07211102550927992;0.08115485882626579;0.1290413370461833;0.09649409884086753;0.11419281938896161;10;9;16;9;10;0.09407407407407399;0.10178628217835907
Subject2;0.05250000000000014;0.06599999999999981;0.04923076923076948;0.10300000000000001;0.059999999999999706;0.05257647491307982;0.03911521443121606;0.02841992800294044;0.1132401577768829;0.03741657386773955;8;5;13;10;10;0.06565217391304348;0.06365365220954355
Subject3;0.08999999999999983;0.10384615384615382;0.11466666666666679;0.06812500000000002;0.13099999999999987;0.07483314773547858;0.14728308691872155;0.10034701694382242;0.06852919086053777;0.18070540790038478;10;13;15;16;10;0.09953124999999999;0.11590129472550172
Subject4;0.08500000000000003;0.06428571428571428;0.17461538461538445;0.15636363636363615;0.07357142857142862;0.10634848376916332;0.03207134902949083;0.20263330528384635;0.1344821718498573;0.0737571006080765;6;7;13;11;14;0.11725490196078425;0.135588766959104
Subject5;0.10499999999999998;0.07062499999999994;0.11249999999999998;0.06318181818181821;-0.8227272727272728;0.08154753215150058;0.07343648048937712;0.13447265423439106;0.06756910844153863;2.9743405686272406;10;16;20;22;11;-0.0408860759493671;1.1145416326712434
Subject6;0.03571428571428574;0.08000000000000008;0.07599999999999998;0.04785714285714284;0.06499999999999993;0.011338934190276833;0.05656854249492373;0.10321959946776446;0.030173491021748846;0.05459642140991683;7;11;15;14;14;0.06311475409836065;0.06412334425689699
Subject7;0.10166666666666661;0.075;0.13210526315789464;0.09157894736842111;0.12428571428571418;0.06369196704975214;0.07529940238806662;0.1307915622222551;0.08214236678506803;0.07634508123364223;6;6;19;19;7;0.10842105263157892;0.09799397710508638
